event_id,variant,runtime_path,source_path,tags,codec,sampleRateHz,channels,durationMs,sha256
reel.acceleration,3,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_acceleration_v03.ogg,02_SOURCE_LIBRARY_CC0/Kenney/sci-fi-sounds/Audio/engineCircular_002.ogg,reel motor acceleration,vorbis,44100,1,5000,5f364bd42269e111df1d421fa2b45f0b2f0cc99a873ceae2d55b34898ad0d779
reel.start.whoosh,1,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_start_whoosh_v01.wav,02_SOURCE_LIBRARY_CC0/OpenGameArt/13_Swishes_CC0/swishes/swish-3.wav,reel start whoosh,pcm_s24le,44100,2,146,55b100e2c67fa43dad8510e31e85bbd51a68d5ce84a6e0259e21e19030083e24
reel.start.whoosh,2,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_start_whoosh_v02.wav,02_SOURCE_LIBRARY_CC0/OpenGameArt/13_Swishes_CC0/swishes/swish-4.wav,reel start whoosh,pcm_s24le,44100,2,146,0060f4a7040edce4cc50d1daa10a9cb76764128a942e4688339e69cd1d5d784c
reel.loop.standard,1,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_loop_standard_v01.ogg,02_SOURCE_LIBRARY_CC0/OpenGameArt/30_CC0_SFX_Loops/machine_01.ogg,reel machine loop,vorbis,48000,2,1196,06bef91dcdb0a7e034f29196d36ba4d5a55e51038df4b299178d457fb978e6fb
reel.loop.turbo,1,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_loop_turbo_v01.ogg,02_SOURCE_LIBRARY_CC0/OpenGameArt/30_CC0_SFX_Loops/machine_07.ogg,reel machine fast loop,vorbis,48000,2,1350,b06cc36d9be4398e99a203b085a75ba779ecadbf981ab65d3ea5ec45d77842c3
reel.loop.anticipation,1,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_loop_anticipation_v01.ogg,02_SOURCE_LIBRARY_CC0/OpenGameArt/30_CC0_SFX_Loops/machine_10.ogg,reel anticipation loop,vorbis,48000,2,1346,a9aa0a0de4665619274d3d6020100cf97d9948fcc033ec49f59bae52a8fef802
reel.prestop.servo,1,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_prestop_servo_v01.flac,02_SOURCE_LIBRARY_CC0/OpenGameArt/7_Mechanical_Clicks_CC0/mechanical/mechanical_clicks-03.flac,reel prestop servo,flac,96000,2,1198,d6471866061294b3873de2776096f3231b476807606fafb52850efdb560dce1f
reel.prestop.servo,2,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_prestop_servo_v02.flac,02_SOURCE_LIBRARY_CC0/OpenGameArt/7_Mechanical_Clicks_CC0/mechanical/mechanical_clicks-04.flac,reel prestop servo,flac,96000,2,542,efbe681aa625950174b6642c387c5716ced6d34de38d3212beaad3e5f51c29e7
reel.prestop.servo,3,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_prestop_servo_v03.ogg,02_SOURCE_LIBRARY_CC0/Kenney/sci-fi-sounds/Audio/forceField_000.ogg,reel prestop servo,vorbis,44100,1,954,c2916f2a062c8ddd1aca2826d134fe90847037db31342726ffb0f9097afe339c
reel.prestop.brake,1,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_prestop_brake_v01.wav,02_SOURCE_LIBRARY_CC0/OpenGameArt/68_Workshop_Sounds_CC0/workshop/workshop - scrape2.wav,reel prestop brake scrape,pcm_f32le,44100,2,2534,da1a820fe2ff991c8e5e810279875b408ce3e38f71bec0dca5b90421404bf7ec
reel.prestop.brake,2,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_prestop_brake_v02.wav,02_SOURCE_LIBRARY_CC0/OpenGameArt/68_Workshop_Sounds_CC0/workshop/workshop - quiet scrape.wav,reel prestop brake scrape,pcm_f32le,44100,2,4913,cd833575cb9b2ef371d672b46e26871e7e7999f00d0bd7cc8968a39cd18d8a54
reel.stop.lock,1,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_stop_lock_v01.ogg,02_SOURCE_LIBRARY_CC0/Kenney/impact-sounds/Audio/impactMetal_medium_000.ogg,reel stop metal lock contact,vorbis,44100,2,272,a96f879fec0864a8938e0c745b6996a6c5679c16a234ce31a01cc995e8401003
reel.stop.lock,2,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_stop_lock_v02.ogg,02_SOURCE_LIBRARY_CC0/Kenney/impact-sounds/Audio/impactMetal_medium_001.ogg,reel stop metal lock contact,vorbis,44100,2,143,e8a9eaba7c4d27422e4eeb3e6c7100d5d7dc0f83e005efc98c960adcc5265337
reel.stop.lock,3,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_stop_lock_v03.ogg,02_SOURCE_LIBRARY_CC0/Kenney/impact-sounds/Audio/impactMetal_medium_002.ogg,reel stop metal lock contact,vorbis,44100,2,119,7e89ce2ca0dbda95ea2b78d4b50791cab35c10d20e9f5ccd45dd0b00e99ff548
reel.stop.lock,4,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_stop_lock_v04.ogg,02_SOURCE_LIBRARY_CC0/Kenney/impact-sounds/Audio/impactMetal_medium_003.ogg,reel stop metal lock contact,vorbis,44100,2,254,2a185e2e57211d02c1bdd33b872d6b6a2fe83e6c14f4e56f426a95e717acf08e
reel.stop.lock,5,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_stop_lock_v05.ogg,02_SOURCE_LIBRARY_CC0/Kenney/impact-sounds/Audio/impactMetal_medium_004.ogg,reel stop metal lock contact,vorbis,44100,2,109,03e10f800199c7166208e41c11cf4acfac6cc265467f02357da71972bc967295
reel.stop.lock,6,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_stop_lock_v06.ogg,02_SOURCE_LIBRARY_CC0/OpenGameArt/100_CC0_Wood_Metal_SFX/metal_hit_01.ogg,reel stop metal lock contact,vorbis,48000,2,269,f5fd185fce454947c1d91ce6757e219c4d7c6c139d4aa9d419cd7a79c7f6df3b
reel.stop.lock,7,01_RUNTIME_READY/audio/reels/bsb_sfx_reel_stop_lock_v07.ogg,02_SOURCE_LIBRARY_CC0/OpenGameArt/100_CC0_Wood_Metal_SFX/metal_hit_02.ogg,reel stop metal lock contact,vorbis,48000,2,435,9074c0828727bd00834cabcaaf5b8cbff2cfad7b45676b95d86c0919e444f8b1
